Year,LoanCharacteristicsID,Bank,FIPSStateNumericCode,FIPSCountyCode,CoreBasedStatisticalAreaCode,CensusTractMinorityRatioPercent,CensusTractMedFamIncomeAmount,LocalAreaMedianIncomeAmount,HUDMedianIncomeAmount,TotalMonthlyIncomeAmount,LTVRatioPercent,NoteRatePercent,NoteAmount,HousingExpenseRatioPercent,TotalDebtExpenseRatioPercent,Borrower1CreditScoreValue,Borrower2CreditScoreValue,PMICoveragePercent,LoanPurposeType,ProductCategoryName,MortgageType,ScheduledTotalPaymentCount,LoanAmortizationMaxTermMonths,MortgageLoanSellerInstType,PropertyUsageType,PropertyUnitCount,PropertyType,BorrowerCount,BorrowerFirstTimeHomebuyer,Borrower1AgeAtApplicationYears,Borrower2AgeAtApplicationYears,Borrower1SexType,Borrower2SexType,Borrower1Race1Type,Borrower2Race1Type,EmploymentBorrowerSelfEmployed,min_credit_score,avg_age
2024,2820897,Boston,33,017,14460,11.059,124693,123334,141300,14605,76,6.625,396500,23.63,30.15,4,NA,0,6,01,0,360,360,01,1,1,PT01,1,0,45,NA,2,NA,5,8,1,4,45
2024,2820898,Boston,23,031,38860,6.084,96420,95979,108500,8398,95,6.75,324900,29.74,38.53,5,NA,30,1,01,0,360,360,01,1,1,PT01,1,1,29,NA,1,NA,5,8,0,5,29
2024,2820899,Boston,23,007,99999,4.842,73583,70228,80600,14099,64,6.75,282085,20.48,40.5,4,NA,0,1,01,0,360,360,01,2,1,PT06,1,0,47,NA,NA,NA,NA,8,0,4,47
2024,2820900,Boston,33,011,31700,15.965,109145,109292,121800,13933,95,7,571900,33.55,39.01,5,4,30,1,01,0,360,360,01,1,1,PT01,2,1,30,30,1,1,5,5,0,4,30
2024,2820901,Boston,25,017,14460,16.481,146284,134646,142000,11051,90,6.875,435000,32.91,39.48,4,4,25,1,01,0,360,360,01,1,1,PT01,2,1,29,27,2,1,NA,NA,0,4,28
2024,2820902,Boston,23,005,38860,20.234,115484,104743,112500,27113,88,6.625,680000,18.95,21.05,5,5,25,1,01,0,360,360,01,1,1,PT01,2,1,35,35,2,1,5,5,0,5,35
2024,2820903,Boston,23,005,38860,9.849,158375,104743,112500,29114,57,6.25,765000,31.08,45.06,5,5,0,1,01,0,360,360,01,1,1,PT01,2,0,40,52,NA,NA,NA,NA,0,5,46
2024,2820904,Boston,23,005,38860,5.939,120119,95979,108500,9079,80,6.25,356000,15.08,43.38,5,NA,0,1,01,0,360,360,01,2,1,PT01,1,0,51,NA,NA,NA,5,8,0,5,51
2024,2820905,Boston,23,031,38860,6.261,129103,104743,112500,18086,80,6.125,661600,25.83,46.44,5,5,0,1,01,0,360,360,01,1,1,PT01,2,0,33,35,2,2,5,5,0,5,34
2024,2820906,Boston,23,005,38860,11.687,227115,104743,112500,17291,80,6.75,516000,25.03,29.6,5,NA,0,1,01,0,360,360,01,1,1,PT06,1,1,32,NA,2,NA,5,8,0,5,32
2024,2820907,Boston,25,027,49340,31.868,137500,109247,111400,16923,80,6.75,540000,24.3,43.18,5,5,0,1,01,0,360,360,01,1,1,PT01,2,0,40,41,1,2,5,5,0,5,40.5
2024,2820908,Boston,44,007,39300,34.326,82961,94723,108300,7955,95,6.75,470250,47.01,48.24,5,NA,30,1,01,0,360,360,01,1,1,PT01,1,0,44,NA,1,NA,5,8,0,5,44
