Year,LoanCharacteristicsID,Bank,FIPSStateNumericCode,FIPSCountyCode,CoreBasedStatisticalAreaCode,CensusTractIdentifier,CensusTractMinorityRatioPercent,CensusTractMedFamIncomeAmount,LocalAreaMedianIncomeAmount,TotalMonthlyIncomeAmount,HUDMedianIncomeAmount,LoanAcquisitionActualUPBAmt,LTVRatioPercent,NoteDate,LoanAcquisitionDate,LoanPurposeType,ProductCategoryName,MortgageType,ScheduledTotalPaymentCount,LoanAmortizationMaxTermMonths,MortgageLoanSellerInstType,BorrowerCount,BorrowerFirstTimeHomebuyer,Borrower1Race1Type,Borrower2Race1Type,Borrower1SexType,Borrower2SexType,Borrower1AgeAtApplicationYears,Borrower2AgeAtApplicationYears,PropertyUsageType,PropertyUnitCount,NoteRatePercent,NoteAmount,HousingExpenseRatioPercent,TotalDebtExpenseRatioPercent,Borrower1CreditScoreValue,Borrower2CreditScoreValue,PMICoveragePercent,EmploymentBorrowerSelfEmployed,PropertyType,IndexSourceType,MarginRatePercent,PrepaymentPenaltyExpirationDate,Borrower1EthnicityType,Borrower1Race2Type,Borrower1Race3Type,Borrower1Race4Type,Borrower1Race5Type,Borrower2EthnicityType,Borrower2Race2Type,Borrower2Race3Type,Borrower2Race4Type,Borrower2Race5Type,HOEPALoanStatusType,LienPriorityType
2024,2820897,Boston,33,017,14460,0805.00,11.059,124693,123334,14605,141300,396500,76,2023,2024,6,01,0,360,360,01,1,0,5,8,2,4,45,998,1,1,6.625,396500,23.63,30.15,4,9,0,1,PT01,99,9999,9999-12-31,2,7,7,7,7,5,8,8,8,8,2,1
2024,2820898,Boston,23,031,38860,0240.02,6.084,96420,95979,8398,108500,324900,95,2023,2024,1,01,0,360,360,01,1,1,5,8,1,4,29,998,1,1,6.75,324900,29.74,38.53,5,9,30,0,PT01,99,9999,9999-12-31,2,7,7,7,7,5,8,8,8,8,2,1
2024,2820899,Boston,23,007,99999,9706.01,4.842,73583,70228,14099,80600,282085,64,2023,2024,1,01,0,360,360,01,1,0,6,8,3,4,47,998,2,1,6.75,282085,20.48,40.5,4,9,0,0,PT06,99,9999,9999-12-31,3,7,7,7,7,5,8,8,8,8,2,1
2024,2820900,Boston,33,011,31700,0001.03,15.965,109145,109292,13933,121800,571900,95,2023,2024,1,01,0,360,360,01,2,1,5,5,1,1,30,30,1,1,7,571900,33.55,39.01,5,4,30,0,PT01,99,9999,9999-12-31,2,7,7,7,7,2,7,7,7,7,2,1
2024,2820901,Boston,25,017,14460,3641.02,16.481,146284,134646,11051,142000,435000,90,2024,2024,1,01,0,360,360,01,2,1,6,6,2,1,29,27,1,1,6.875,435000,32.91,39.48,4,4,25,0,PT01,99,9999,9999-12-31,3,7,7,7,7,3,7,7,7,7,2,1
2024,2820902,Boston,23,005,38860,0021.01,20.234,115484,104743,27113,112500,680000,88,2024,2024,1,01,0,360,360,01,2,1,5,5,2,1,35,35,1,1,6.625,680000,18.95,21.05,5,5,25,0,PT01,99,9999,9999-12-31,2,7,7,7,7,2,7,7,7,7,2,1
2024,2820903,Boston,23,005,38860,0025.04,9.849,158375,104743,29114,112500,765000,57,2024,2024,1,01,0,360,360,01,2,0,6,6,3,3,40,52,1,1,6.25,765000,31.08,45.06,5,5,0,0,PT01,99,9999,9999-12-31,3,7,7,7,7,3,7,7,7,7,2,1
2024,2820904,Boston,23,005,38860,0171.02,5.939,120119,95979,9079,108500,356000,80,2023,2024,1,01,0,360,360,01,1,0,5,8,3,4,51,998,2,1,6.25,356000,15.08,43.38,5,9,0,0,PT01,99,9999,9999-12-31,2,7,7,7,7,5,8,8,8,8,2,1
2024,2820905,Boston,23,031,38860,0360.04,6.261,129103,104743,18086,112500,661600,80,2024,2024,1,01,0,360,360,01,2,0,5,5,2,2,33,35,1,1,6.125,661600,25.83,46.44,5,5,0,0,PT01,99,9999,9999-12-31,2,7,7,7,7,2,7,7,7,7,2,1
2024,2820906,Boston,23,005,38860,0025.03,11.687,227115,104743,17291,112500,516000,80,2024,2024,1,01,0,360,360,01,1,1,5,8,2,4,32,998,1,1,6.75,516000,25.03,29.6,5,9,0,0,PT06,99,9999,9999-12-31,2,7,7,7,7,5,8,8,8,8,2,1
